,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
523,Sr. Data Modeler / Data Analyst,Photon Infotech P Ltd,5-10 Yrs,5.0,10.0,,,,Chennai,180.0,Naukri,4.0,1400.0,"Data Analyst, Db2, Data modeling",
524,Data Engineer,Photon Infotech P Ltd,2-5 Yrs,2.0,5.0,,,,"Chennai, Pune, New Delhi
													+4 more",210.0,Naukri,4.0,1400.0,"SQL, Linux, Python",
525,Data Analyst - Products,India Medtronic Pvt. Ltd,3-5 Yrs,3.0,5.0,,,,Hyderabad / Secunderabad,240.0,Naukri,4.1,466.0,"Master data management, Healthcare, Data quality",
526,Data Analyst,Physics Wallah,3-6 Yrs,3.0,6.0,,,,Noida,365.0,Naukri,3.8,1200.0,"Data analysis, SQL, Python",
527,Marketing Data Analyst II,Course Hero,3-4 Yrs,3.0,4.0,,,,"Chennai, Pune, New Delhi
													+4 more",30.0,Naukri,3.6,62.0,"SQL, Health insurance, SEM",
528,Data Analyst - SAS/SQL (6-15 yrs),T D Newton,6-15 Yrs,6.0,15.0,,,,"Bangalore / Bengaluru, Chennai",5.0,hirist,2.7,33.0,"Data Analyst, SAS, SQL",
529,Data Analyst - Power BI (10-15 yrs),Talpro,10-15 Yrs,10.0,15.0,,,,"Mumbai, Kolkata",5.0,hirist,4.0,5.0,"Data Analyst, Data Analytics, Power BI",
530,Lead Developer - Power BI (8-10 yrs),Cortex Consulting Pvt. Ltd.,8-10 Yrs,8.0,10.0,,,,Remote,30.0,hirist,3.1,16.0,"Power BI, Business Intelligence, Data Warehousing",
531,Droom - Data Analyst (2-5 yrs),Droom Technology (P) Ltd,2-5 Yrs,2.0,5.0,,,,Gurgaon / Gurugram,60.0,iimjobs,3.5,153.0,"Data Analytics, Analytics, SQL",
532,Technical Data Analyst,TraceLink Inc.,3-5 Yrs,3.0,5.0,,,,Pune,60.0,Naukri,3.8,32.0,"SQL, Supply chain, Business intelligence",
533,UsefulBI Corporation - Senior Data Analyst - Tableau (4-6 yrs),USEFULBI CORPORATION,4-6 Yrs,4.0,6.0,,,,Bangalore / Bengaluru,60.0,hirist,4.3,20.0,"Tableau, Data Visualization, Python",
534,Associate Merchandiser_ Furniture & Dec- Data Analyst,Williams-sonoma India Pvt. Ltd.,2-6 Yrs,2.0,6.0,,,,Gurgaon / Gurugram,30.0,Naukri,3.2,19.0,"Supply chain management, Data analysis, data integrity",
535,Data Analyst,ANR Software Pvt. Ltd.,2-5 Yrs,2.0,5.0,,,,Noida,365.0,Naukri,4.3,191.0,"SQL, SAS, Process improvement",
536,SCM - Data Analyst,Banyan Nation,3-5 Yrs,3.0,5.0,,,,Hyderabad / Secunderabad,24.0,Naukri,3.8,23.0,"Electrical engineering, Supply chain, Data Analyst",
537,Business Data Analyst,IGW India Technologies,10-12 Yrs,10.0,12.0,,,,Pune,30.0,Naukri,3.8,42.0,"Microsoft SSIS, Power BI, Business Data Analysis",
